modelo,parametros,exactitud,latencia_s,input_tokens,output_tokens,reasoning_tokens,costo_usd
gpt-4o-mini,"{""temperature"": 0, ""top_p"": 0.5}",1.0,3.7123399999999998,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0, ""top_p"": 0.9}",1.0,6.48468,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0, ""top_p"": 1.0}",1.0,1.1123,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.3, ""top_p"": 0.5}",1.0,1.2425,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.3, ""top_p"": 0.9}",1.0,1.17698,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.3, ""top_p"": 1.0}",1.0,1.24632,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.7, ""top_p"": 0.5}",1.0,1.23718,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.7, ""top_p"": 0.9}",1.0,1.1548,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 0.7, ""top_p"": 1.0}",1.0,1.1391799999999999,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.0, ""top_p"": 0.5}",1.0,1.1148,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.0, ""top_p"": 0.9}",1.0,1.16124,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.0, ""top_p"": 1.0}",1.0,1.11436,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.5, ""top_p"": 0.5}",1.0,1.13894,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.5, ""top_p"": 0.9}",1.0,1.0857999999999999,86.7,6.0,0.0,0.00083025
gpt-4o-mini,"{""temperature"": 1.5, ""top_p"": 1.0}",1.0,1.1076000000000001,86.7,6.0,0.0,0.00083025
qwen3:1.7b,"{""temperature"": 0, ""top_p"": 0.5}",1.0,9.274546666666668,77.0,77.85333333333334,0.0,0.0
qwen3:1.7b,"{""temperature"": 0, ""top_p"": 0.9}",1.0,9.200887218045114,77.10526315789474,77.65413533834587,0.0,0.0
qwen3:1.7b,"{""temperature"": 0, ""top_p"": 1.0}",1.0,8.55582,77.0,77.6,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.3, ""top_p"": 0.5}",1.0,8.27966,77.0,79.33,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.3, ""top_p"": 0.9}",0.97,8.19927,77.0,78.33,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.3, ""top_p"": 1.0}",0.9772727272727273,9.084249999999999,77.11363636363636,77.29545454545455,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.7, ""top_p"": 0.5}",1.0,10.14524,77.0,78.76,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.7, ""top_p"": 0.9}",0.96,7.75024,77.0,74.16,0.0,0.0
qwen3:1.7b,"{""temperature"": 0.7, ""top_p"": 1.0}",0.92,7.93512,77.0,73.6,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.0, ""top_p"": 0.5}",1.0,8.095979999999999,77.0,77.98,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.0, ""top_p"": 0.9}",0.98,8.63218,77.0,75.5,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.0, ""top_p"": 1.0}",0.92,7.91088,77.0,76.98,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.5, ""top_p"": 0.5}",1.0,8.03942,77.0,78.32,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.5, ""top_p"": 0.9}",0.9,8.09658,77.0,78.56,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.5, ""top_p"": 1.0}",0.96,8.00564,77.0,76.2,0.0,0.0
